客户ID,雇员关系,性别,年龄层级,客户状态,是否外国人,开户渠道,省份名称,年收入
1299871,非员工,女,30-45岁,活跃客户,否,KFC,广东,86714.01
1299877,非员工,男,18-30岁,活跃客户,是,KFC,海南,32300.01
1299884,非员工,女,30-45岁,活跃客户,否,KFC,广东,59976.72
1299890,非员工,男,30-45岁,活跃客户,否,KFC,广东,43739.13
1299913,非员工,男,30-45岁,活跃客户,否,KFC,广东,78590.37
1299939,非员工,女,30-45岁,活跃客户,否,KHN,广东,189505.95
1300024,非员工,男,45-60岁,活跃客户,否,KAT,江西,108585.48
1300085,非员工,男,45-60岁,活跃客户,否,KFC,江西,36504.21
1300090,非员工,女,18-30岁,活跃客户,否,KAT,广东,145684.86000000002
1300113,非员工,女,30-45岁,活跃客户,否,KFC,江西,64941.54
1300114,非员工,男,30-45岁,活跃客户,否,KFC,江西,38013.12
1300131,非员工,女,18-30岁,活跃客户,否,KFC,广东,111810.38999999998
1300160,非员工,男,18-30岁,活跃客户,否,KFC,江西,69770.45999999999
1300189,非员工,男,18-30岁,活跃客户,否,KFC,江西,63388.44
1300190,非员工,男,30-45岁,活跃客户,否,KFC,江西,51902.88
1300200,非员工,男,18-30岁,活跃客户,否,KFC,广东,59831.34
1300238,非员工,男,45-60岁,活跃客户,否,KFC,江西,43112.73
1300239,非员工,男,18-30岁,活跃客户,否,KFC,江西,77847.27
1300335,非员工,男,30-45岁,活跃客户,否,KFC,广东,87008.88
1300479,非员工,男,30-45岁,活跃客户,否,KAT,陕西,52154.37
1300501,非员工,女,18-30岁,活跃客户,否,KHE,江西,56377.26
1300565,非员工,男,18-30岁,活跃客户,否,KHE,陕西,76434.66
1300572,非员工,男,30-45岁,活跃客户,否,KFC,广东,498328.14
1300620,非员工,女,18-30岁,活跃客户,否,KHE,江西,158871.41999999998
1300704,非员工,女,45-60岁,活跃客户,否,KAT,广东,82152.69
1300880,非员工,男,18-30岁,活跃客户,否,KHE,江西,59905.14
1301063,非员工,女,18-30岁,活跃客户,否,KFC,陕西,85074.87
1301179,非员工,女,18-30岁,活跃客户,否,KHE,江西,71518.95000000001
1301240,非员工,男,18-30岁,活跃客户,否,KFC,陕西,74423.61
1301257,非员工,女,30-45岁,活跃客户,否,KFC,江西,80170.29000000001
1301284,非员工,女,60-75岁,活跃客户,否,KFC,四川,128628.57
1301338,非员工,男,18-30岁,活跃客户,否,KAT,江西,96617.22
1301466,非员工,女,75岁以上,活跃客户,否,KAT,四川,36770.85000000001
1301551,非员工,男,45-60岁,活跃客户,否,KFC,江西,64164.3
1301558,非员工,女,30-45岁,活跃客户,否,KAT,广东,235466.88
1301575,非员工,女,18-30岁,活跃客户,否,KFC,广东,56056.08
1301576,非员工,女,18-30岁,活跃客户,否,KFC,广东,172727.7
1301589,非员工,男,30-45岁,活跃客户,否,KAT,江西,133956.41999999998
1301592,非员工,女,30-45岁,活跃客户,否,KAT,广东,91360.05
1301629,非员工,女,18-30岁,活跃客户,否,KFC,广东,105946.11000000002
1301634,非员工,男,18-30岁,活跃客户,否,KFC,江西,53141.49000000001
1301649,非员工,男,30-45岁,活跃客户,否,KHN,海南,90982.08
1301701,非员工,男,30-45岁,活跃客户,否,KFC,广东,120139.05
1301814,非员工,男,18-30岁,活跃客户,否,KFC,广东,141327.69
1301869,非员工,男,18-30岁,活跃客户,否,KAT,陕西,60464.76
1301983,非员工,女,18-30岁,活跃客户,是,KAT,广东,124935.54
1302063,非员工,男,18-30岁,活跃客户,否,KFC,江西,120979.35
1302079,非员工,男,18-30岁,活跃客户,否,KFC,广东,340326.6
1302098,非员工,男,18-30岁,活跃客户,否,KFC,广东,54098.16
1302100,非员工,男,60-75岁,活跃客户,否,KFC,江西,91018.65
1302103,非员工,女,60-75岁,活跃客户,否,KFC,江西,91018.65
1302128,非员工,男,30-45岁,活跃客户,是,KFC,广东,111434.82
1302189,非员工,女,18-30岁,活跃客户,否,KFC,广东,193987.83
1302234,非员工,男,30-45岁,活跃客户,否,KFC,江西,57454.5
1302266,非员工,男,30-45岁,活跃客户,否,KFC,江西,75580.95000000001
1302360,非员工,女,18-30岁,活跃客户,否,KAT,江西,52706.52
1302411,非员工,男,18-30岁,活跃客户,否,KHE,广东,78803.58
1302527,非员工,男,45-60岁,活跃客户,否,KFC,江西,104928.06
1302559,非员工,男,18-30岁,活跃客户,否,KHE,江西,216584.16
1302573,非员工,女,30-45岁,活跃客户,否,KFC,广东,109788.69
1302628,非员工,女,30-45岁,活跃客户,否,KFC,江西,32614.14
1302681,非员工,女,18-30岁,活跃客户,否,KFC,广东,45369.81
1302689,非员工,男,18-30岁,活跃客户,是,KFC,江西,83913.78
1302787,非员工,男,60-75岁,活跃客户,否,KAT,陕西,112404.12
1302885,非员工,女,18-30岁,活跃客户,否,KHE,江西,68605.14
1303058,非员工,男,18-30岁,活跃客户,否,KFC,广东,501764.19000000006
1303096,非员工,男,60-75岁,活跃客户,否,KAT,四川,67209.18000000001
1303129,非员工,男,18-30岁,活跃客户,否,KHE,江西,39159.66
1303171,非员工,男,45-60岁,活跃客户,否,KFC,江西,19076.37
1303174,非员工,男,30-45岁,活跃客户,否,KFC,江西,73834.35
1303176,非员工,男,60-75岁,活跃客户,否,KFC,广东,104571.63
1303187,非员工,男,30-45岁,活跃客户,否,KFC,广东,90373.8
1303233,非员工,男,30-45岁,活跃客户,是,KFC,陕西,48145.17
1303263,非员工,女,30-45岁,活跃客户,否,KFC,江西,33048.899999999994
1303296,非员工,男,45-60岁,活跃客户,否,KFC,广东,183253.53
1303314,非员工,女,18-30岁,活跃客户,否,KFC,广东,121984.08
1303319,非员工,女,18-30岁,活跃客户,否,KFC,海南,53395.53
1303330,非员工,男,30-45岁,活跃客户,否,KFC,广东,67199.45999999999
1303510,非员工,女,30-45岁,活跃客户,否,KAT,广东,58630.35000000001
1303530,非员工,男,18-30岁,活跃客户,否,KHE,江西,111771.9
1303580,非员工,女,18-30岁,活跃客户,否,KHE,广东,123537.38999999998
1303635,非员工,男,18-30岁,活跃客户,否,KHE,广东,119020.83
1303657,非员工,女,18-30岁,活跃客户,否,KHE,陕西,107496.6
1303685,非员工,女,30-45岁,活跃客户,否,KHE,广东,102771.84
1303690,非员工,男,18-30岁,活跃客户,否,KHE,广东,256057.86
1303742,非员工,女,30-45岁,活跃客户,否,KFC,江西,41638.56
1303761,非员工,女,45-60岁,活跃客户,否,KAT,陕西,135400.98
1303805,非员工,男,60-75岁,活跃客户,否,KFC,江西,129847.95
1303895,非员工,女,60-75岁,活跃客户,否,KAT,江西,178271.16
1303908,非员工,男,18-30岁,活跃客户,否,KFC,广东,165956.76
1303917,非员工,男,30-45岁,活跃客户,否,KFC,陕西,73636.20000000001
1304238,非员工,女,18-30岁,活跃客户,否,KHE,江西,47724.15
1304339,非员工,女,18-30岁,活跃客户,是,KFC,广东,59269.41
1304387,非员工,女,18-30岁,活跃客户,否,KHE,江西,61014.3
1304484,非员工,男,30-45岁,活跃客户,否,KHE,江西,34619.16
1304606,非员工,男,60-75岁,活跃客户,否,KAT,海南,26598.72
1304654,非员工,男,18-30岁,活跃客户,否,KFC,江西,75600.29999999999
1304668,非员工,男,30-45岁,活跃客户,否,KFC,陕西,138442.16999999998
1304679,非员工,女,45-60岁,活跃客户,否,KFC,江西,91018.65
1304710,非员工,女,18-30岁,活跃客户,否,KFC,广东,76663.62
1304712,非员工,男,18-30岁,活跃客户,否,KHE,陕西,42660.69
1304725,非员工,男,30-45岁,活跃客户,否,KFC,江西,70450.56
1304732,非员工,女,30-45岁,活跃客户,否,KFC,江西,74734.04999999999
1304739,非员工,女,30-45岁,活跃客户,否,KFC,江西,64512.63
1304802,非员工,男,30-45岁,活跃客户,否,KFC,江西,131619.96
1304952,非员工,男,18-30岁,活跃客户,否,KHE,陕西,111988.05
1304987,非员工,男,18-30岁,活跃客户,否,KHE,广东,55953.75
1305308,非员工,女,18-30岁,活跃客户,否,KHE,广东,280667.19
1305312,非员工,女,18-30岁,活跃客户,否,KHE,广东,140794.38
1305314,非员工,男,18-30岁,活跃客户,否,KFC,江西,38383.5
1305358,非员工,女,30-45岁,活跃客户,否,KFC,江西,47726.22
1305462,非员工,男,60-75岁,活跃客户,否,KAT,四川,150654.59999999998
1305527,非员工,女,18-30岁,活跃客户,否,KFC,江西,67208.52
1305532,非员工,男,30-45岁,活跃客户,否,KFC,四川,7425.0
1305547,非员工,女,45-60岁,活跃客户,否,KFC,广东,187437.93
1305589,非员工,男,18-30岁,活跃客户,否,KHE,广东,72774.56999999999
1305628,非员工,女,18-30岁,活跃客户,否,KHE,陕西,242224.05
1305639,非员工,女,30-45岁,活跃客户,否,KFC,广东,95889.03
1305756,非员工,女,30-45岁,活跃客户,否,KFC,陕西,174330.54
1305761,非员工,男,18-30岁,活跃客户,否,KHE,江西,83183.67
1305781,非员工,男,18-30岁,活跃客户,否,KHE,陕西,83098.95000000001
1305800,非员工,男,18-30岁,活跃客户,否,KHE,广东,151680.90000000002
1305901,非员工,男,30-45岁,活跃客户,否,KFC,江西,84363.12
1305978,非员工,女,75岁以上,活跃客户,否,KFA,陕西,219959.61
1306004,非员工,女,45-60岁,活跃客户,否,KFC,陕西,90031.04999999997
1306005,非员工,男,18-30岁,活跃客户,否,KFC,陕西,154982.01
1306010,非员工,男,18-30岁,活跃客户,否,KFC,广东,96449.79
1306032,非员工,女,60-75岁,活跃客户,否,KFC,广东,113319.03
1306056,非员工,女,30-45岁,活跃客户,否,KFC,陕西,110475.51
1306070,非员工,男,30-45岁,活跃客户,否,KFC,陕西,299897.64
1306094,非员工,女,30-45岁,活跃客户,否,KFC,江西,90690.81
1306182,非员工,男,60-75岁,活跃客户,否,KFC,江西,107651.82
1306259,非员工,女,30-45岁,活跃客户,否,KHE,广东,55979.94
1306380,非员工,男,30-45岁,活跃客户,是,KFC,江西,52557.78
1306389,非员工,男,30-45岁,活跃客户,否,KAT,江西,115178.97
1306395,非员工,男,45-60岁,活跃客户,否,KAT,陕西,57411.27
1306407,非员工,女,75岁以上,活跃客户,否,KFC,江西,59697.60000000001
1306432,非员工,男,18-30岁,活跃客户,否,KAT,江西,65917.31999999999
1306670,非员工,女,18-30岁,活跃客户,否,KHE,江西,118618.56
1306848,非员工,女,60-75岁,活跃客户,否,KFA,四川,58679.06999999999
1306872,非员工,男,18-30岁,活跃客户,否,KAT,广东,244620.09
1306898,非员工,女,18-30岁,活跃客户,否,KAT,江西,93183.69
1306933,非员工,男,30-45岁,活跃客户,否,KFC,海南,59330.61
1306946,非员工,女,30-45岁,活跃客户,否,KFC,海南,67381.44
1306957,非员工,女,30-45岁,活跃客户,是,KFC,陕西,88555.44
1306989,非员工,女,18-30岁,活跃客户,否,KFC,广东,136637.46
1307013,非员工,男,30-45岁,活跃客户,否,KFC,广东,116349.21
1307017,非员工,女,30-45岁,活跃客户,否,KFC,四川,444165.66
1307042,非员工,女,18-30岁,活跃客户,是,KFC,广东,70602.63
1307143,非员工,女,18-30岁,活跃客户,否,KHE,陕西,54627.81
1307228,非员工,男,18-30岁,活跃客户,是,KFC,江西,162730.95
1307278,非员工,男,18-30岁,活跃客户,否,KAT,广东,102149.85
1307397,非员工,男,60-75岁,活跃客户,否,KFC,四川,39986.73
1307510,非员工,男,18-30岁,活跃客户,否,KFC,江西,104002.05
1307526,非员工,男,30-45岁,活跃客户,否,KAT,江西,182308.86
1307687,非员工,男,30-45岁,活跃客户,否,KAT,江西,98423.7
1307929,非员工,男,18-30岁,活跃客户,否,KHE,陕西,275822.52
1307977,非员工,女,18-30岁,活跃客户,否,KFC,江西,50547.9
1308097,非员工,男,18-30岁,活跃客户,否,KFC,江西,75238.29000000001
1308110,非员工,男,45-60岁,活跃客户,否,KFC,广东,83246.04000000001
1308188,非员工,男,18-30岁,活跃客户,否,KHE,广东,91991.7
1308246,非员工,男,18-30岁,活跃客户,否,KHE,广东,51030.24000000001
1308256,非员工,女,18-30岁,活跃客户,否,KHE,陕西,64730.25
1308265,非员工,女,60-75岁,活跃客户,否,KFC,四川,55282.14
1308311,非员工,男,30-45岁,活跃客户,否,KFC,广东,57740.61
1308350,非员工,男,18-30岁,活跃客户,否,KHE,江西,141151.5
1308369,非员工,女,45-60岁,活跃客户,否,KFC,陕西,57932.58
1308567,非员工,女,18-30岁,活跃客户,否,KHE,江西,66704.61
1308710,非员工,男,18-30岁,活跃客户,否,KAT,海南,112858.62
1308841,非员工,男,30-45岁,活跃客户,否,KHE,江西,63649.83
1308996,非员工,女,45-60岁,活跃客户,否,KAT,广东,55202.37
1309054,非员工,女,18-30岁,活跃客户,否,KHE,江西,70418.61
1309165,非员工,女,18-30岁,活跃客户,否,KAT,广东,127039.17
1309727,非员工,男,60-75岁,活跃客户,否,KAT,四川,42543.42
1309893,非员工,女,45-60岁,活跃客户,否,KFC,江西,151047.99
1310033,非员工,男,30-45岁,活跃客户,是,KFC,江西,41124.57
1310608,非员工,女,30-45岁,活跃客户,否,KHE,江西,230136.81
1310618,非员工,男,30-45岁,活跃客户,否,KAT,广东,422304.75
1310625,非员工,女,75岁以上,活跃客户,否,KAT,江西,43496.43
1310650,非员工,男,30-45岁,活跃客户,否,KAT,江西,256816.23
1310659,非员工,男,18-30岁,活跃客户,否,KHE,江西,71478.42
1310717,非员工,男,18-30岁,活跃客户,否,KFC,江西,73485.45000000001
1310735,非员工,男,30-45岁,活跃客户,否,KAT,广东,26851.86
1310933,非员工,女,30-45岁,活跃客户,否,KFC,江西,62337.03
1311065,非员工,男,18-30岁,活跃客户,否,KHE,江西,143039.88
1311261,非员工,女,18-30岁,活跃客户,否,KHE,陕西,67088.31
1311313,非员工,男,30-45岁,活跃客户,否,KFC,广东,123004.86000000002
1311442,非员工,男,30-45岁,活跃客户,否,KAT,陕西,150371.22
1311472,非员工,女,18-30岁,活跃客户,否,KFC,江西,93604.35
1311489,非员工,男,45-60岁,活跃客户,否,KFC,广东,68881.04999999999
1311502,非员工,男,18-30岁,活跃客户,否,KFC,江西,24711.81
1311507,非员工,女,18-30岁,活跃客户,否,KFC,广东,60780.54
1311509,非员工,男,18-30岁,活跃客户,否,KAT,广东,129331.95
1311535,非员工,男,60-75岁,活跃客户,否,KFC,海南,33704.31
1311556,非员工,男,30-45岁,活跃客户,否,KFC,广东,154971.90000000002
1311558,非员工,男,30-45岁,活跃客户,否,KFC,陕西,87293.25
1311636,非员工,男,45-60岁,活跃客户,否,KAT,陕西,102413.49
1311707,非员工,男,30-45岁,活跃客户,否,KFC,江西,77564.4
1311708,非员工,男,60-75岁,活跃客户,否,KAT,四川,126647.97
1311769,非员工,男,30-45岁,活跃客户,否,KHE,江西,103342.47
1311785,非员工,女,30-45岁,活跃客户,是,KFC,江西,94229.88
1311793,非员工,男,30-45岁,活跃客户,否,KFC,广东,112018.29
1312008,非员工,女,18-30岁,活跃客户,否,KFC,江西,78792.69
1312021,非员工,男,60-75岁,活跃客户,否,KFC,广东,154971.90000000002
1312027,非员工,男,60-75岁,活跃客户,否,KFC,广东,154971.90000000002
1312054,非员工,女,30-45岁,活跃客户,否,KAT,江西,60013.83
1312080,非员工,男,45-60岁,活跃客户,否,KAT,广东,61553.76
1312148,非员工,女,60-75岁,活跃客户,否,KAT,江西,132549.87
1312162,非员工,男,30-45岁,活跃客户,否,KFC,广东,50419.14
1312199,非员工,男,18-30岁,活跃客户,否,KFC,广东,56241.69
1312291,非员工,女,18-30岁,活跃客户,否,KHE,江西,67449.84
1312322,非员工,男,18-30岁,活跃客户,否,KHE,江西,42774.96
1312453,非员工,男,60-75岁,活跃客户,否,KFC,四川,76049.91
1312485,非员工,女,18-30岁,活跃客户,否,KFC,广东,404601.6
1312501,非员工,男,30-45岁,活跃客户,否,KFA,海南,57648.0
1312537,非员工,男,18-30岁,活跃客户,否,KFC,广东,43923.33
1312767,非员工,男,18-30岁,活跃客户,否,KHE,江西,51538.56
1312774,非员工,男,30-45岁,活跃客户,否,KHE,广东,68710.98
1312925,非员工,男,18-30岁,活跃客户,否,KHE,广东,155580.09
1312931,非员工,男,18-30岁,活跃客户,否,KFC,江西,88886.19
1312969,非员工,男,30-45岁,活跃客户,否,KFC,江西,67299.95999999999
1313003,非员工,男,30-45岁,活跃客户,否,KFC,北京,12854.04
1313195,非员工,女,75岁以上,活跃客户,否,KAT,四川,41729.16
1313299,非员工,男,45-60岁,活跃客户,否,KAT,陕西,138688.77
1313304,非员工,女,30-45岁,活跃客户,否,KAT,江西,94106.79
1313470,非员工,女,18-30岁,活跃客户,否,KHE,江西,98536.59
1313542,非员工,女,30-45岁,活跃客户,否,KFC,广东,114180.18
1313682,非员工,男,45-60岁,活跃客户,否,KAT,广东,146474.52
1313754,非员工,女,18-30岁,活跃客户,否,KHE,广东,68710.98
1313846,非员工,男,30-45岁,活跃客户,否,KFC,江西,94106.79
1313852,非员工,女,30-45岁,活跃客户,否,KFC,江西,62345.67
1313890,非员工,女,18-30岁,活跃客户,否,KHE,海南,39614.22
1313975,非员工,女,45-60岁,活跃客户,否,KFC,江西,150909.78
1314024,非员工,女,18-30岁,活跃客户,否,KHE,陕西,169360.74
1314068,非员工,女,18-30岁,活跃客户,否,KHE,陕西,152556.45
1314201,非员工,男,30-45岁,活跃客户,否,KHE,江西,65692.70999999999
1314278,非员工,女,30-45岁,活跃客户,否,KHE,广东,327686.82
1314444,非员工,男,18-30岁,活跃客户,否,KHE,陕西,181695.21
1314481,非员工,女,30-45岁,活跃客户,否,KHE,广东,45737.4
1314655,非员工,女,30-45岁,活跃客户,否,KFC,广东,47910.84
1314914,非员工,女,30-45岁,活跃客户,是,KFC,广东,265308.06
1314975,非员工,女,18-30岁,活跃客户,否,KHE,陕西,215286.96
1315083,非员工,男,30-45岁,活跃客户,否,KFC,江西,27443.340000000004
1315119,非员工,男,18-30岁,活跃客户,是,KFC,广东,67607.4
1315120,非员工,男,18-30岁,活跃客户,否,KFC,广东,154194.72
1315201,非员工,女,30-45岁,活跃客户,否,KHE,陕西,86001.33
1315609,非员工,男,30-45岁,活跃客户,否,KHE,陕西,63547.65
1315704,非员工,女,30-45岁,活跃客户,否,KAT,广东,79200.06
1315733,非员工,男,18-30岁,活跃客户,否,KHE,江西,243403.56
1315791,非员工,男,30-45岁,活跃客户,是,KFC,江西,50197.77
1315808,非员工,女,18-30岁,活跃客户,否,KHE,广东,67732.95000000001
1315809,非员工,女,18-30岁,活跃客户,否,KHE,江西,232273.95
1315883,非员工,男,30-45岁,活跃客户,否,KHE,江西,88037.06999999998
1315913,非员工,男,30-45岁,活跃客户,否,KHE,海南,38872.8
1315930,非员工,男,18-30岁,活跃客户,否,KHE,江西,35833.2
1315995,非员工,男,30-45岁,活跃客户,否,KFC,江西,114718.26
1316062,非员工,女,18-30岁,活跃客户,否,KHE,陕西,84373.83
1316384,非员工,男,18-30岁,活跃客户,否,KHE,江西,53058.56999999999
1316399,非员工,女,18-30岁,活跃客户,否,KAT,海南,110842.77
1316434,非员工,女,18-30岁,活跃客户,是,KAT,江西,47063.07
1316447,非员工,男,30-45岁,活跃客户,否,KFC,江西,60321.93000000001
1316534,非员工,男,18-30岁,活跃客户,否,KFC,江西,424422.18
1316544,非员工,女,18-30岁,活跃客户,否,KHE,江西,82894.83
1316929,非员工,女,18-30岁,活跃客户,否,KHE,广东,126277.59
1317009,非员工,男,30-45岁,活跃客户,否,KFC,江西,260156.19
1317582,非员工,男,18-30岁,活跃客户,否,KAT,陕西,64820.37
1317586,非员工,男,45-60岁,活跃客户,否,KFC,江西,109548.9
1317587,非员工,男,18-30岁,活跃客户,是,KHE,江西,124102.44
1317588,非员工,男,30-45岁,活跃客户,否,KFC,广东,168405.24
1317623,非员工,男,30-45岁,活跃客户,否,KAT,广东,81089.91
1317647,非员工,女,30-45岁,活跃客户,是,KFC,江西,77472.20999999999
1317655,非员工,男,60-75岁,活跃客户,否,KFC,四川,129759.51
1317690,非员工,女,18-30岁,活跃客户,否,KHE,海南,137434.88999999998
1317704,非员工,女,30-45岁,活跃客户,否,KFC,江西,99707.94
1317774,非员工,女,18-30岁,活跃客户,否,KHE,海南,47893.5
1317825,非员工,男,18-30岁,活跃客户,否,KHE,江西,94218.93
1317849,非员工,男,18-30岁,活跃客户,是,KFC,广东,154257.54
1317858,非员工,男,45-60岁,活跃客户,否,KFC,江西,71637.6
1317974,非员工,女,18-30岁,活跃客户,否,KHE,广东,90092.64
1317984,非员工,女,18-30岁,活跃客户,否,KHE,陕西,107113.44
1318096,非员工,女,75岁以上,活跃客户,否,KFC,江西,139113.45
1318200,非员工,男,30-45岁,活跃客户,否,KHE,陕西,182544.27
1318385,非员工,男,18-30岁,活跃客户,否,KFC,江西,42363.09
1318565,非员工,男,30-45岁,活跃客户,否,KFC,江西,74734.04999999999
1318597,非员工,男,18-30岁,活跃客户,否,KFC,江西,98320.86000000002
1318633,非员工,女,45-60岁,活跃客户,否,KAT,江西,56927.58
1318733,非员工,女,30-45岁,活跃客户,否,KFC,广东,95046.42
1318749,非员工,男,30-45岁,活跃客户,否,KFC,陕西,125470.11000000002
1318808,非员工,女,30-45岁,活跃客户,是,KFC,江西,82038.03
1318836,非员工,男,30-45岁,活跃客户,否,KFC,海南,48808.29
1318949,非员工,男,45-60岁,活跃客户,否,KFC,江西,57257.19
1318973,非员工,男,30-45岁,活跃客户,否,KFC,江西,34554.87
1318994,非员工,女,30-45岁,活跃客户,否,KFC,陕西,132572.76
1319005,非员工,男,30-45岁,活跃客户,否,KFC,江西,99078.6
1319010,非员工,男,30-45岁,活跃客户,否,KFC,江西,123030.42
1319012,非员工,女,18-30岁,活跃客户,否,KFC,广东,215515.92
1319014,非员工,女,60-75岁,活跃客户,否,KFC,广东,186236.34
1319022,非员工,女,30-45岁,活跃客户,否,KFC,江西,54356.06999999999
1319033,非员工,男,30-45岁,活跃客户,否,KFC,广东,120244.13999999998
1319343,非员工,男,30-45岁,活跃客户,否,KFC,陕西,124568.19
1319441,非员工,女,45-60岁,活跃客户,否,KAT,江西,29672.49
1319461,非员工,女,18-30岁,活跃客户,否,KFC,江西,2058336.12
1319557,非员工,男,45-60岁,活跃客户,否,KFC,江西,87210.48
1319592,非员工,男,18-30岁,活跃客户,否,KHE,江西,71273.01
1319703,非员工,女,18-30岁,活跃客户,否,KHE,江西,50500.83
1319800,非员工,男,18-30岁,活跃客户,否,KHE,江西,137338.29
1319821,非员工,女,30-45岁,活跃客户,否,KFC,江西,71637.6
1319833,非员工,女,30-45岁,活跃客户,否,KHE,江西,84355.86
1319891,非员工,女,30-45岁,活跃客户,否,KFC,陕西,95459.55
1319956,非员工,女,30-45岁,活跃客户,否,KAT,陕西,159429.24
1320160,非员工,男,30-45岁,活跃客户,否,KFC,广东,121130.22
1320163,非员工,男,30-45岁,活跃客户,否,KAT,广东,163672.47
1320197,非员工,男,45-60岁,活跃客户,否,KFC,江西,42839.22
1320209,非员工,女,45-60岁,活跃客户,否,KAT,江西,35425.23
1320216,非员工,女,18-30岁,活跃客户,否,KFC,江西,27443.340000000004
1320249,非员工,女,30-45岁,活跃客户,否,KFC,广东,980765.85
1320268,非员工,男,30-45岁,活跃客户,否,KFC,广东,33635.7
1320272,非员工,男,45-60岁,活跃客户,否,KFC,江西,113253.9
1320509,非员工,女,75岁以上,活跃客户,否,KFC,四川,115561.05
1320619,非员工,男,18-30岁,活跃客户,否,KHE,江西,86790.51
1320636,非员工,男,45-60岁,活跃客户,否,KFC,海南,103764.93
1320647,非员工,女,18-30岁,活跃客户,否,KHE,江西,63636.96
1320664,非员工,男,18-30岁,活跃客户,否,KHE,江西,140257.05
1320743,非员工,男,45-60岁,活跃客户,否,KAT,江西,107544.81
1320767,非员工,男,18-30岁,活跃客户,否,KHE,江西,217292.61
1320773,非员工,男,45-60岁,活跃客户,否,KAT,广东,187176.84
1320778,非员工,男,18-30岁,活跃客户,否,KFC,江西,57786.24000000001
1320837,非员工,男,18-30岁,活跃客户,否,KHE,广东,52917.9
1320865,非员工,女,18-30岁,活跃客户,否,KHE,江西,44826.57
1320920,非员工,男,18-30岁,活跃客户,是,KHE,江西,41111.55
1320970,非员工,男,30-45岁,活跃客户,否,KFC,广东,207821.91
1320977,非员工,男,18-30岁,活跃客户,否,KHE,江西,38883.87
1321019,非员工,男,30-45岁,活跃客户,否,KAT,江西,40184.97
1321179,非员工,男,18-30岁,活跃客户,否,KHE,陕西,263149.62
1321491,非员工,男,18-30岁,活跃客户,否,KFC,广东,203340.21
1321494,非员工,男,30-45岁,活跃客户,否,KAT,江西,95843.97
1321644,非员工,男,18-30岁,活跃客户,否,KFC,江西,84486.09
1321974,非员工,男,18-30岁,活跃客户,否,KFC,江西,27443.340000000004
1322247,非员工,女,45-60岁,活跃客户,否,KFC,广东,135937.77
1322295,非员工,男,30-45岁,活跃客户,否,KAT,广东,96311.7
1322561,非员工,男,30-45岁,活跃客户,否,KFC,陕西,83692.11
1322770,非员工,男,30-45岁,活跃客户,否,KFC,广东,118747.74
1322819,非员工,女,60-75岁,活跃客户,否,KFC,陕西,479871.87
1322828,非员工,男,45-60岁,活跃客户,否,KAT,江西,43781.4
1322878,非员工,女,18-30岁,活跃客户,否,KFC,四川,1294176.99
1322883,非员工,男,30-45岁,活跃客户,否,KFC,广东,120896.25
1323126,非员工,女,18-30岁,活跃客户,否,KHE,陕西,37995.0
1323223,非员工,女,18-30岁,活跃客户,否,KHE,陕西,167510.58000000002
1323240,非员工,男,30-45岁,活跃客户,否,KFC,广东,80680.5
1323302,非员工,男,18-30岁,活跃客户,否,KHE,江西,65630.88
1323322,非员工,男,30-45岁,活跃客户,否,KAT,陕西,55296.09
1323326,非员工,男,18-30岁,活跃客户,否,KHE,广东,145884.36000000002
1323457,非员工,女,18-30岁,活跃客户,否,KHE,广东,237117.24
1323643,非员工,女,30-45岁,活跃客户,否,KFC,海南,86067.51
1323883,非员工,男,18-30岁,活跃客户,否,KHE,江西,361492.56
1323906,非员工,女,18-30岁,活跃客户,否,KHE,江西,73181.13
1323914,非员工,男,18-30岁,活跃客户,否,KHE,江西,105276.54
1324035,非员工,女,30-45岁,活跃客户,否,KHE,陕西,59006.79
1324144,非员工,男,60-75岁,活跃客户,否,KFC,江西,276661.5
1324165,非员工,男,30-45岁,活跃客户,否,KFC,广东,54977.76
1324178,非员工,女,18-30岁,活跃客户,否,KFC,江西,38004.9
1324216,非员工,女,18-30岁,活跃客户,是,KFC,江西,29965.29
1324265,非员工,男,30-45岁,活跃客户,否,KFC,广东,86188.17
1324271,非员工,男,45-60岁,活跃客户,是,KFC,广东,195750.78
1324274,非员工,女,30-45岁,活跃客户,否,KFC,广东,80541.99
1324408,非员工,女,60-75岁,活跃客户,否,KFC,江西,30175.92
1324456,非员工,女,18-30岁,活跃客户,否,KHE,广东,33393.57
1324542,非员工,女,75岁以上,活跃客户,否,KAT,四川,38257.68
1324680,非员工,女,30-45岁,活跃客户,否,KFC,陕西,44762.97
1324973,非员工,男,45-60岁,活跃客户,是,KAT,海南,53766.3
1324994,非员工,男,30-45岁,活跃客户,是,KFC,广东,53882.19
1325000,非员工,女,30-45岁,活跃客户,否,KFC,海南,39585.75
1325180,非员工,男,45-60岁,活跃客户,否,KAT,广东,154329.48
1325199,非员工,男,18-30岁,活跃客户,否,KFC,陕西,44691.3
1325277,非员工,女,30-45岁,活跃客户,否,KFC,江西,57576.33
1325286,非员工,男,18-30岁,活跃客户,否,KFC,广东,183433.53
1325297,非员工,女,30-45岁,活跃客户,否,KFC,广东,98986.62
1325341,非员工,男,30-45岁,活跃客户,否,KFC,广东,73661.25
1325366,非员工,男,45-60岁,活跃客户,否,KFC,广东,63279.93000000001
1325377,非员工,男,30-45岁,活跃客户,否,KFC,江西,84695.85
1325408,非员工,男,30-45岁,活跃客户,否,KFC,江西,103163.63999999998
