本期ID,性别,出生天数,学历,婚姻状况,就业天数,职业类别,单位类别,年收入,家庭人数,子女人数
205905,男,-11995,本科及以上,有配偶,-3702,,军队,360000,3,1
205910,男,-11384,高中/职高,民事婚姻,-2195,工人,自由职业,157500,2,0
205914,男,-21892,高中/职高,离异,-4325,安保人员,公司类别3,157500,1,0
205917,女,-12512,高中/职高,有配偶,-1083,销售人员,公司类别3,67500,3,1
205920,男,-9615,高中/职高,有配偶,-313,工人,公司类别3,112500,3,1
205934,女,-19941,本科及以上,有配偶,-5299,,其他,270000,3,1
205936,女,-14733,高中/职高,有配偶,-5004,工人,工业类别4,58500,2,0
205944,男,-17671,高中/职高,有配偶,-4587,司机,公司类别3,90000,2,0
205954,女,-11932,高中/职高,有配偶,-1599,会计,自由职业,171000,2,0
205955,男,-9678,本科及以上,有配偶,-922,司机,贸易类别7,103500,2,0
205976,女,-18007,高中/职高,有配偶,-1272,清洁工,公司类别2,135000,3,1
205977,女,-20877,高中/职高,丧偶,365243,,未知,90000,1,0
205991,女,-22574,高中/职高,有配偶,365243,,未知,135000,2,0
206004,女,-14385,高中/职高,有配偶,-1327,,公司类别3,202500,3,1
206010,女,-10003,本科及以上,有配偶,-475,核心员工,贸易类别2,315000,2,0
206017,男,-10484,高中/职高,未婚,-2672,核心员工,交通类别2,180000,1,0
206043,女,-16271,本科及以上,有配偶,-7489,专业技术人员,运营商,202500,2,0
206057,女,-14871,本科及以上,有配偶,-4440,会计,自由职业,382500,2,0
206064,女,-9730,高中/职高,有配偶,-1205,工人,公司类别2,67500,2,0
206078,女,-9952,高中/职高,民事婚姻,-1766,核心员工,贸易类别2,112500,2,0
206081,女,-13545,高中/职高,有配偶,-3840,医务人员,医疗,166500,3,1
206092,男,-17785,高中/职高,有配偶,-2821,核心员工,农业,180000,2,0
206098,女,-17843,高中/职高,未婚,-10255,核心员工,交通类别2,135000,1,0
206124,男,-12627,本科及以上,有配偶,-4925,核心员工,警察,180000,4,2
206138,女,-19102,本科及以上,有配偶,-104,,公司类别2,67500,2,0
206157,女,-18421,高中/职高,丧偶,-1635,,自由职业,135000,1,0
206160,女,-11690,高中/职高,离异,-286,核心员工,公司类别3,117000,2,1
206161,女,-15320,本科及以上,离异,-992,,银行,180000,1,0
206183,女,-10972,本科及以上,有配偶,-676,会计,公司类别3,207000,3,1
206187,男,-16742,高中/职高,有配偶,-7578,经理,军队,247500,2,0
206194,女,-14774,高中/职高,有配偶,-2090,会计,自由职业,135000,2,0
206202,女,-23635,本科及以上,有配偶,365243,,未知,90000,2,0
206214,女,-11851,高中/职高,有配偶,-1430,销售人员,贸易类别3,90000,4,2
206217,女,-15674,高中/职高,有配偶,-806,销售人员,贸易类别7,225000,2,0
206218,女,-10784,大学肄业,未婚,-3646,工人,公司类别3,135000,1,0
206219,男,-12747,高中/职高,未婚,-191,工人,其他,315000,1,0
206249,男,-11555,本科及以上,有配偶,-2771,经理,公司类别3,157500,2,0
206310,男,-13756,高中/职高,有配偶,-3019,,保险,90000,4,2
206313,女,-22957,高中/职高,有配偶,-1052,清洁工,公司类别3,121500,2,0
206328,女,-16281,高中/职高,有配偶,-4327,房产中介,公司类别3,112500,2,0
206360,女,-23868,高中/职高,丧偶,365243,,未知,90000,1,0
206373,男,-19680,高中/职高,有配偶,-1422,,公司类别2,144000,2,0
206390,女,-16035,高中/职高,有配偶,-945,厨师,工业类别4,405000,2,0
206394,女,-15225,高中/职高,有配偶,-2027,,公司类别3,135000,4,2
206425,女,-11544,本科及以上,有配偶,-3653,工人,公司类别3,112500,2,0
206432,女,-9643,本科及以上,有配偶,-1951,核心员工,幼教,112500,2,0
206437,女,-11263,本科及以上,有配偶,-468,,公司类别3,157500,2,0
206443,男,-13935,高中/职高,有配偶,-185,安保人员,安保,135000,3,1
206452,女,-21982,高中/职高,丧偶,365243,,未知,139500,1,0
206454,男,-22611,高中/职高,有配偶,365243,,未知,90000,2,0
206461,女,-17664,高中/职高,离异,-887,,公司类别3,90000,2,1
206464,女,-15452,高中/职高,离异,-8422,文职人员,公司类别3,202500,2,1
206494,女,-23008,高中/职高,有配偶,365243,,未知,270000,2,0
206503,女,-12486,本科及以上,离异,-4499,,公共安全,180000,1,0
206519,女,-18075,高中/职高,丧偶,-5927,,公司类别3,202500,1,0
206520,男,-12392,本科及以上,有配偶,-3549,核心员工,警察,189000,2,0
206521,女,-16218,本科及以上,离异,-1516,经理,公司类别3,135000,1,0
206536,女,-7965,大学肄业,有配偶,-374,工人,警察,90000,2,0
206570,女,-21498,高中/职高,有配偶,365243,,未知,112500,2,0
206584,男,-8798,本科及以上,未婚,-116,经理,公司类别1,135000,1,0
206608,女,-19315,高中/职高,离异,-12636,经理,邮政,144000,1,0
206620,男,-8857,高中/职高,民事婚姻,-656,销售人员,贸易类别2,157500,2,0
206635,女,-21366,高中/职高,有配偶,-3123,医务人员,医疗,135000,2,0
206646,男,-9583,高中/职高,民事婚姻,-760,销售人员,自由职业,270000,2,0
206674,女,-15856,高中/职高,民事婚姻,-119,,公司类别3,202500,2,0
206688,女,-10685,高中/职高,民事婚姻,-143,经理,公司类别3,108000,2,0
206724,女,-19747,高中/职高,离异,-3116,,其他,67500,1,0
206725,女,-21756,高中/职高,有配偶,-752,文职人员,自由职业,247500,2,0
206750,男,-17934,高中/职高,有配偶,-1059,司机,公司类别3,180000,3,1
206754,男,-15298,高中/职高,有配偶,-2535,经理,公司类别3,166500,3,1
206758,女,-12324,高中/职高,离异,-603,销售人员,自由职业,261000,2,1
206759,男,-13748,高中/职高,离异,-1755,工人,公司类别3,360000,1,0
206788,女,-19685,本科及以上,有配偶,-146,会计,医疗,45000,2,0
206816,男,-12261,本科及以上,有配偶,-1049,,公司类别3,270000,3,1
206828,男,-21824,高中/职高,民事婚姻,-965,司机,公司类别3,112500,2,0
206842,男,-13788,本科及以上,有配偶,-2339,工人,贸易类别2,112500,2,0
206857,女,-23653,高中/职高,有配偶,365243,,未知,90000,2,0
206860,女,-16425,本科及以上,有配偶,-6435,经理,学校,166500,3,1
206861,女,-22457,高中/职高,未婚,365243,,未知,252000,1,0
206868,男,-13750,高中/职高,民事婚姻,-7046,司机,公司类别3,157500,3,1
206880,男,-18914,高中/职高,离异,-1681,工人,其他,360000,1,0
206886,女,-21900,高中/职高,离异,-1047,工人,物业,360000,1,0
206887,男,-10097,本科及以上,有配偶,-2783,工人,建筑,292500,2,0
206937,男,-18520,本科及以上,有配偶,-837,经理,贸易类别7,225000,2,0
206965,女,-14242,本科及以上,有配偶,-454,经理,公司类别3,360000,5,3
206995,女,-12496,本科及以上,有配偶,-597,,工业类别7,90000,4,2
206997,女,-22432,高中/职高,有配偶,365243,,未知,81000,2,0
207007,女,-11415,本科及以上,有配偶,-637,会计,自由职业,180000,3,1
207039,女,-18896,高中/职高,有配偶,-11821,经理,其他,126450,2,0
207053,女,-20652,高中/职高,离异,365243,,未知,112500,1,0
207056,女,-17832,本科及以上,未婚,-269,医务人员,公司类别3,135000,1,0
207076,男,-15315,高中/职高,有配偶,-3051,工人,公司类别3,180000,4,2
207083,男,-11215,高中/职高,离异,-80,工人,公司类别3,90000,2,1
207090,女,-11637,本科及以上,有配偶,-2288,销售人员,自由职业,112500,3,1
207098,女,-12833,高中/职高,民事婚姻,-623,经理,公司类别3,270000,2,0
207099,男,-18646,本科及以上,有配偶,-1356,工人,交通类别4,135000,2,0
207165,女,-11154,高中/职高,有配偶,-231,,公司类别3,67500,3,1
207188,男,-21438,高中/职高,民事婚姻,-4761,工人,其他,112500,2,0
207223,男,-10010,本科及以上,有配偶,-915,工人,公司类别3,167368.5,2,0
207242,男,-18693,高中/职高,有配偶,-2232,安保人员,建筑,135000,3,1
207245,女,-18894,高中/职高,丧偶,-6799,会计,银行,135000,1,0
207279,女,-9717,高中/职高,有配偶,-106,销售人员,自由职业,112500,2,0
207311,女,-19811,高中/职高,有配偶,-1782,,公司类别3,157500,2,0
207313,女,-17984,本科及以上,有配偶,-1206,,其他,148500,2,0
207338,女,-20457,高中/职高,丧偶,365243,,未知,78750,1,0
207390,女,-14389,大学肄业,有配偶,-797,,公司类别3,112500,3,1
207405,男,-15456,本科及以上,有配偶,-2789,经理,公司类别3,90000,3,1
207413,男,-12736,本科及以上,有配偶,-1506,信息技术人员,贸易类别2,517500,3,1
207414,女,-21928,高中/职高,未婚,-443,安保人员,学校,54000,1,0
207415,女,-16917,高中/职高,有配偶,-2949,厨师,公司类别3,135000,3,1
207416,女,-16559,高中/职高,有配偶,-2066,工人,工业类别2,180000,2,0
207424,男,-8409,高中/职高,有配偶,-546,工人,公司类别3,90000,3,1
207464,男,-20979,高中/职高,有配偶,-3074,工人,工业类别5,180000,2,0
207467,女,-11944,大学肄业,有配偶,-287,房产中介,自由职业,180000,3,1
207474,女,-12730,本科及以上,有配偶,-5148,核心员工,警察,211500,5,3
207475,男,-13319,高中/职高,民事婚姻,-1762,低技能工人,公司类别3,112500,2,0
207487,女,-21812,高中/职高,有配偶,365243,,未知,144000,2,0
207489,男,-21617,高中/职高,有配偶,-1534,司机,贸易类别3,180000,2,0
207493,女,-15446,高中/职高,有配偶,-2393,工人,工业类别3,157500,3,1
207507,男,-21338,高中/职高,民事婚姻,365243,,未知,202500,2,0
207519,女,-19124,高中/职高,有配偶,-2986,,公司类别3,112500,2,0
207544,女,-21103,高中/职高,离异,365243,,未知,135000,1,0
207554,男,-14339,本科及以上,有配偶,-2304,,银行,315000,2,0
207571,女,-18552,本科及以上,有配偶,-224,专业技术人员,其他,225000,2,0
207585,男,-15607,本科及以上,未婚,-1496,工人,工业类别9,225000,2,1
207592,女,-12832,高中/职高,有配偶,-2469,会计,银行,202500,4,2
207597,男,-18465,高中/职高,离异,-259,销售人员,公司类别3,270000,2,1
207601,女,-14007,本科及以上,有配偶,-478,,其他,112500,3,1
207623,女,-18526,高中/职高,民事婚姻,-11572,,交通类别2,270000,2,0
207629,男,-11566,高中/职高,未婚,-2990,工人,贸易类别7,112500,1,0
207638,男,-14558,高中/职高,未婚,-7709,,工业类别7,90000,1,0
207642,女,-16552,高中/职高,有配偶,-9907,医务人员,医疗,225000,2,0
207646,女,-22893,高中/职高,民事婚姻,365243,,未知,40500,2,0
207661,女,-23356,高中/职高,丧偶,365243,,未知,202500,1,0
207664,女,-13645,本科及以上,民事婚姻,-1086,会计,贸易类别3,292500,2,0
207720,男,-20074,本科及以上,民事婚姻,-3550,工人,公司类别3,180000,2,0
207740,男,-13293,高中/职高,有配偶,-2660,经理,公司类别3,247500,2,0
207764,女,-20503,高中/职高,有配偶,365243,,未知,135000,2,0
207806,女,-12005,高中/职高,有配偶,-2092,家政人员,自由职业,157500,2,0
207808,男,-18928,高中/职高,民事婚姻,365243,,未知,270000,2,0
207812,男,-8787,高中/职高,未婚,-1787,,公司类别3,112500,1,0
207829,男,-16211,高中/职高,有配偶,-1690,工人,学校,81000,2,0
207850,女,-17495,高中/职高,有配偶,-394,销售人员,公司类别3,90000,2,0
207872,男,-22584,本科及以上,有配偶,-9486,核心员工,政府部门,227250,2,0
207891,女,-23441,本科及以上,民事婚姻,-1424,会计,物业,202500,2,0
207897,女,-23231,高中/职高,有配偶,365243,,未知,99000,2,0
207905,女,-10551,本科及以上,有配偶,-540,会计,自由职业,247500,2,0
207916,女,-22762,高中/职高,有配偶,365243,,未知,54000,2,0
207923,女,-12602,本科及以上,有配偶,-4339,会计,公司类别3,148500,2,0
207925,女,-11170,高中/职高,有配偶,-976,核心员工,贸易类别3,130500,3,1
207939,男,-11343,本科及以上,有配偶,-218,工人,公司类别3,157500,3,1
207980,女,-13521,高中/职高,有配偶,-2059,工人,公司类别3,135000,3,1
207987,女,-21010,高中/职高,有配偶,-7287,工人,政府部门,157500,2,0
208003,男,-11803,本科及以上,有配偶,-1396,经理,公司类别3,382500,3,1
208063,女,-17372,高中/职高,丧偶,-592,工人,公司类别3,270000,1,0
208065,女,-10792,本科及以上,未婚,-1704,会计,公司类别3,540000,1,0
208075,女,-14551,高中/职高,有配偶,-109,工人,其他,180000,2,0
208082,女,-11672,大学肄业,未婚,-717,销售人员,自由职业,202500,1,0
208084,女,-12341,高中/职高,有配偶,-2264,,学校,112500,3,1
208089,女,-9839,高中/职高,民事婚姻,-2642,销售人员,公司类别3,225000,2,0
208121,男,-22967,高中/职高,有配偶,365243,,未知,112500,2,0
208164,女,-24486,高中/职高,未婚,-3676,,公司类别3,90000,1,0
208177,男,-16253,高中/职高,有配偶,-1778,工人,自由职业,157500,2,0
208182,男,-11277,高中/职高,未婚,-1267,工人,公司类别3,202500,1,0
208194,男,-17599,高中/职高,有配偶,-1484,工人,公司类别3,202500,2,0
208207,女,-16104,高中/职高,有配偶,-2718,工人,公司类别2,112500,4,2
208216,男,-9821,高中/职高,有配偶,-325,核心员工,自由职业,180000,2,0
208219,女,-22750,高中/职高,未婚,365243,,未知,54000,2,1
208261,女,-13912,高中/职高,有配偶,-6776,核心员工,学校,67500,2,0
208296,男,-9439,本科及以上,有配偶,-2217,经理,自由职业,135000,3,1
208304,女,-12904,本科及以上,离异,-4297,工人,邮政,225000,1,0
208323,女,-14898,本科及以上,有配偶,-1984,,自由职业,162000,4,2
208328,女,-10166,高中/职高,有配偶,-1592,工人,自由职业,112500,2,0
208349,女,-22206,高中/职高,有配偶,365243,,未知,108000,2,0
208357,男,-12545,大学肄业,未婚,-1504,经理,交通类别4,450000,1,0
208379,女,-17315,高中/职高,有配偶,-4787,工人,公司类别2,202500,2,0
208417,男,-14483,高中/职高,有配偶,-97,工人,公司类别3,157500,3,1
208430,男,-10429,高中/职高,有配偶,-603,工人,建筑,225000,2,0
208433,女,-13342,高中/职高,有配偶,-341,经理,其他,135000,3,1
208435,女,-15304,高中/职高,有配偶,-1002,医务人员,医疗,135000,2,0
208461,男,-12790,高中/职高,有配偶,-1075,工人,自由职业,225000,3,1
208470,女,-13164,高中/职高,有配偶,-2889,清洁工,学校,103500,4,2
208490,女,-23732,高中/职高,未婚,365243,,未知,112500,1,0
208496,男,-13851,高中/职高,有配偶,-3742,工人,公司类别3,180000,4,2
208506,女,-11838,高中/职高,民事婚姻,-1826,销售人员,自由职业,90000,4,2
208507,女,-10827,本科及以上,有配偶,-3248,,警察,157500,2,0
208508,女,-14414,高中/职高,有配偶,-6891,医务人员,医疗,135000,3,1
208509,女,-21140,高中/职高,有配偶,365243,,未知,49500,2,0
208553,女,-22052,高中/职高,有配偶,365243,,未知,60300,2,0
208554,女,-11124,高中/职高,有配偶,-956,销售人员,自由职业,54000,3,1
208555,女,-18159,高中/职高,有配偶,-4328,专业技术人员,贸易类别6,202500,2,0
208574,男,-20636,本科及以上,有配偶,-297,工人,工业类别3,72000,2,0
208599,男,-15270,大学肄业,有配偶,-1572,经理,建筑,180000,2,0
208625,女,-15207,大学肄业,未婚,-2264,会计,公司类别3,202500,1,0
208632,女,-12984,本科及以上,有配偶,-6174,文职人员,医疗,112500,5,3
208634,男,-13997,高中/职高,有配偶,-4089,工人,公司类别1,135000,2,0
208638,女,-24282,高中/职高,丧偶,365243,,未知,157500,1,0
208644,女,-16533,高中/职高,有配偶,-2043,销售人员,公司类别3,103500,2,0
208648,女,-19507,本科及以上,有配偶,-1694,专业技术人员,公司类别3,180000,3,1
208652,女,-21427,高中/职高,离异,-3413,,政府部门,135000,1,0
208654,女,-17266,高中/职高,有配偶,-2966,,广告,157500,2,0
208697,男,-22320,本科及以上,有配偶,365243,,未知,108000,2,0
208723,女,-11358,高中/职高,民事婚姻,-3113,工人,公司类别3,135000,2,0
208727,女,-9990,本科及以上,未婚,-2422,医务人员,其他,180000,1,0
208749,女,-23100,高中/职高,有配偶,365243,,未知,126000,2,0
208752,女,-23726,高中/职高,有配偶,365243,,未知,108000,2,0
208754,男,-10019,本科及以上,有配偶,-642,工人,公司类别3,180000,3,1
208772,男,-10010,高中/职高,有配偶,-574,工人,建筑,135000,2,0
208803,男,-15066,大学肄业,有配偶,-1727,专业技术人员,公司类别3,202500,3,1
208809,女,-12731,本科及以上,有配偶,-2950,,公司类别3,157500,3,1
208823,女,-21259,高中/职高,有配偶,365243,,未知,108000,2,0
208844,女,-8692,高中/职高,未婚,-1112,专业技术人员,公司类别3,270000,1,0
208846,女,-14838,高中/职高,有配偶,-5703,厨师,幼教,108000,4,2
208851,男,-12058,高中/职高,有配偶,-373,医务人员,医疗,184500,3,1
208866,女,-22103,高中/职高,有配偶,365243,,未知,90000,2,0
208876,女,-19230,高中/职高,有配偶,-141,清洁工,公司类别3,225000,2,0
208882,女,-16542,本科及以上,有配偶,-3714,核心员工,学校,90000,2,0
208885,女,-13085,本科及以上,有配偶,-5147,核心员工,学校,211500,5,3
208906,女,-12468,高中/职高,有配偶,-711,工人,工业类别11,166500,2,0
208910,男,-13382,本科及以上,有配偶,-1590,司机,交通类别3,202500,5,3
208918,女,-14597,高中/职高,有配偶,-577,经理,公司类别3,202500,2,0
208955,女,-18453,高中/职高,民事婚姻,-800,核心员工,幼教,81000,2,0
208969,男,-12183,高中/职高,有配偶,-1284,工人,其他,135000,4,2
208991,男,-11488,高中/职高,有配偶,-228,工人,公司类别3,157500,3,1
209003,女,-9772,本科及以上,未婚,-457,经理,军队,202500,2,1
209004,男,-16681,高中/职高,有配偶,-2911,工人,公司类别3,180000,2,0
209011,女,-15897,本科及以上,有配偶,-3594,会计,律师事务所,180000,2,0
209013,男,-13644,高中/职高,未婚,-1758,,其他,315000,1,0
209014,女,-15715,高中/职高,有配偶,-784,医务人员,医疗,76500,2,0
209017,女,-20102,本科及以上,未婚,-3481,,公司类别3,135000,1,0
209038,男,-8144,高中/职高,未婚,-1330,工人,自由职业,112500,1,0
209103,女,-12078,高中/职高,有配偶,-565,厨师,贸易类别3,112500,3,1
209150,女,-12175,高中/职高,民事婚姻,-3498,销售人员,自由职业,126000,2,0
209195,男,-20481,本科及以上,有配偶,-721,,广告,157500,2,0
209213,男,-13111,高中/职高,有配偶,-1644,,律师事务所,157500,2,0
209224,女,-17848,高中/职高,有配偶,-7077,,学校,135000,2,0
209226,女,-13002,本科及以上,未婚,-69,清洁工,保洁,90000,2,1
209246,女,-15281,高中/职高,有配偶,-973,销售人员,自由职业,67500,2,0
209259,女,-12321,高中/职高,有配偶,-2299,销售人员,公司类别3,135000,2,0
209264,男,-16452,高中/职高,未婚,-1418,工人,工业类别11,112500,1,0
209284,男,-23564,大学肄业,有配偶,365243,,未知,112500,2,0
209287,女,-11943,高中/职高,未婚,-4019,核心员工,公司类别3,135000,1,0
209291,男,-12948,高中/职高,有配偶,-3499,工人,其他,225000,4,2
209316,男,-13005,高中/职高,未婚,-1552,工人,公司类别3,90000,1,0
209318,男,-10226,本科及以上,未婚,-1663,工人,自由职业,135000,1,0
209330,男,-17094,高中/职高,有配偶,-9566,经理,运营商,202500,2,0
209337,女,-19360,高中/职高,有配偶,-1932,工人,公司类别3,112500,2,0
209342,女,-24674,高中/职高,有配偶,365243,,未知,99000,2,0
209343,女,-17285,高中/职高,离异,-889,医务人员,其他,58500,1,0
209344,女,-17173,高中/职高,有配偶,-6038,医务人员,医疗,49500,2,0
209351,男,-22358,本科及以上,有配偶,365243,,未知,90000,2,0
209371,女,-20872,高中/职高,有配偶,365243,,未知,180000,2,0
209381,男,-21055,高中/职高,有配偶,365243,,未知,90000,2,0
209405,男,-11514,高中/职高,有配偶,-1900,工人,公司类别2,180000,4,2
209415,女,-21306,高中/职高,有配偶,365243,,未知,140400,2,0
209416,女,-10008,高中/职高,民事婚姻,-1043,工人,公司类别3,90000,2,0
209447,女,-23645,高中/职高,丧偶,365243,,未知,135000,1,0
209448,男,-15667,高中/职高,有配偶,-1994,工人,工业类别9,247500,3,1
209452,男,-12034,高中/职高,民事婚姻,-747,司机,建筑,112500,2,0
209475,女,-13585,本科及以上,民事婚姻,-114,核心员工,公司类别3,225000,2,0
209484,女,-18108,高中/职高,有配偶,-507,清洁工,公司类别2,135000,2,0
209493,女,-21618,高中/职高,丧偶,365243,,未知,99000,1,0
209518,女,-10355,本科及以上,有配偶,-2102,文职人员,幼教,81000,2,0
209553,女,-15144,本科及以上,有配偶,-1767,会计,政府部门,315000,2,0
209558,女,-7815,大学肄业,未婚,-470,专业技术人员,工业类别11,112500,1,0
209570,男,-13964,高中/职高,有配偶,-2395,司机,农业,135000,2,0
209584,女,-21533,高中/职高,有配偶,365243,,未知,126000,2,0
209589,男,-18754,高中/职高,有配偶,-941,工人,建筑,315000,2,0
209642,女,-16015,高中/职高,有配偶,-543,,公司类别3,225000,3,1
209648,女,-15004,本科及以上,未婚,-4363,,医疗,157500,1,0
209650,男,-20484,高中/职高,民事婚姻,-12171,工人,工业类别3,225000,2,0
209663,女,-9948,高中/职高,未婚,-1029,销售人员,贸易类别7,135000,1,0
209667,女,-19915,高中/职高,有配偶,-497,,其他,67500,2,0
209715,女,-17868,高中/职高,有配偶,365243,,未知,90000,2,0
209719,男,-23350,本科及以上,有配偶,365243,,未知,112500,2,0
209738,女,-13541,高中/职高,有配偶,-1950,销售人员,公司类别3,90000,2,0
209770,男,-12546,高中/职高,未婚,-918,,公司类别3,157500,1,0
209792,男,-15812,高中/职高,民事婚姻,-615,司机,政府部门,180000,2,0
209799,男,-15795,高中/职高,有配偶,-252,核心员工,建筑,90000,3,1
209803,女,-11227,大学肄业,有配偶,-3371,核心员工,幼教,135000,4,2
209812,男,-12717,本科及以上,有配偶,-2545,经理,公司类别3,180000,3,1
209853,女,-12641,本科及以上,有配偶,-647,,工业类别11,90000,2,0
209865,女,-18970,高中/职高,未婚,365243,,未知,130500,1,0
209867,女,-16676,本科及以上,未婚,-4990,核心员工,学校,382500,1,0
209958,女,-13664,本科及以上,有配偶,-969,医务人员,医疗,225000,2,0
209961,女,-21190,高中/职高,未婚,365243,,未知,112500,1,0
209994,男,-14127,高中/职高,民事婚姻,-2219,工人,交通类别2,72000,2,0
210031,女,-19313,高中/职高,有配偶,-3311,销售人员,自由职业,90000,2,0
210068,男,-9162,高中/职高,未婚,-676,工人,公司类别2,135000,1,0
210070,女,-11499,高中/职高,有配偶,-1365,工人,政府部门,121500,2,0
210071,女,-12229,高中/职高,有配偶,-1666,工人,公司类别3,171000,4,2
210094,男,-20993,高中/职高,有配偶,-1874,工人,公司类别3,157500,2,0
210099,女,-13773,本科及以上,有配偶,-805,,政府部门,202500,2,0
210102,女,-16509,高中/职高,离异,-927,销售人员,贸易类别3,90000,1,0
210108,男,-14112,本科及以上,民事婚姻,-978,司机,自由职业,225000,2,0
210126,女,-18766,高中/职高,有配偶,-1799,厨师,自由职业,126000,2,0
210142,女,-10071,高中/职高,有配偶,-181,,其他,112500,3,1
210155,男,-14856,高中/职高,有配偶,-1721,工人,公司类别2,135000,2,0
210160,女,-13332,本科及以上,有配偶,-1901,工人,公司类别1,103500,4,2
210179,女,-9596,本科及以上,未婚,-1833,,其他,283500,1,0
210216,女,-19425,高中/职高,有配偶,365243,,未知,270000,2,0
210219,女,-15896,高中/职高,有配偶,-2027,工人,公司类别1,72000,2,0
210221,男,-13618,高中/职高,有配偶,-2946,司机,自由职业,135000,3,1
210228,女,-11908,高中/职高,有配偶,-560,工人,工业类别1,112500,3,1
210230,女,-10556,高中/职高,有配偶,-133,工人,贸易类别3,90000,3,1
210248,女,-12794,高中/职高,有配偶,-2168,核心员工,幼教,67500,4,2
210252,女,-21198,高中/职高,有配偶,-1614,清洁工,物业,67500,2,0
210257,女,-10257,大学肄业,民事婚姻,-2702,经理,公司类别3,211500,2,0
210269,女,-18835,高中/职高,未婚,-5215,厨师,幼教,247500,2,1
210272,女,-24413,高中/职高,丧偶,-731,清洁工,贸易类别7,90000,1,0
210281,女,-12529,高中/职高,民事婚姻,-1387,人事人员,公司类别3,202500,4,2
210285,男,-17222,高中/职高,离异,-627,工人,公司类别3,225000,3,2
210298,女,-9619,大学肄业,有配偶,-1078,工人,工业类别3,135000,3,1
210319,女,-9476,大学肄业,有配偶,-231,,公司类别3,103500,3,1
210335,女,-13434,本科及以上,有配偶,-487,医务人员,医疗,112500,2,0
210347,女,-13732,本科及以上,有配偶,-1937,核心员工,通信,157500,2,0
210381,女,-11947,本科及以上,有配偶,-348,会计,公司类别3,135000,2,0
210399,女,-19972,本科及以上,有配偶,-2158,销售人员,公司类别3,135000,2,0
210402,男,-11063,本科及以上,有配偶,-848,销售人员,其他,157500,3,1
210428,女,-16197,本科及以上,丧偶,-412,销售人员,自由职业,193500,1,0
210433,女,-21559,高中/职高,有配偶,365243,,未知,103500,2,0
210435,男,-11019,高中/职高,未婚,-827,司机,自由职业,225000,1,0
210477,女,-23142,高中/职高,丧偶,-2625,工人,物业,135000,1,0
210488,男,-15037,高中/职高,民事婚姻,-636,经理,公司类别3,225000,3,1
210489,女,-13574,高中/职高,离异,-614,核心员工,学校,193500,1,0
210507,男,-15046,本科及以上,有配偶,-641,经理,公司类别3,157500,2,0
210520,女,-16384,高中/职高,离异,-5570,清洁工,工业类别9,157500,1,0
210522,男,-13781,高中/职高,有配偶,-2654,工人,公司类别3,101250,3,1
210534,女,-13228,高中/职高,有配偶,-6467,,工业类别1,135000,3,1
210560,女,-14418,高中/职高,有配偶,-1055,工人,其他,157500,3,1
210584,女,-11619,高中/职高,民事婚姻,-2204,,自由职业,126000,3,1
210589,女,-10762,大学肄业,有配偶,-2216,核心员工,幼教,72000,4,2
210595,女,-24008,高中/职高,有配偶,365243,,未知,108000,2,0
210612,女,-22932,高中/职高,未婚,-1291,专业技术人员,公司类别2,180000,1,0
210631,女,-14927,高中/职高,有配偶,-356,销售人员,自由职业,76500,2,0
210633,女,-21988,高中/职高,有配偶,-9525,核心员工,学校,117000,2,0
210668,女,-13170,高中/职高,有配偶,-511,工人,工业类别3,171000,4,2
210678,男,-21766,高中/职高,有配偶,-1051,司机,银行,270000,3,1
210703,女,-8082,大学肄业,未婚,-836,销售人员,其他,157500,1,0
210705,女,-10297,本科及以上,有配偶,-691,核心员工,贸易类别7,247500,3,1
210736,男,-11416,高中/职高,有配偶,-4436,,其他,157500,3,1
210752,女,-22544,高中/职高,有配偶,365243,,未知,90000,2,0
210766,女,-11791,本科及以上,未婚,-2358,会计,广告,180000,1,0
210772,女,-21014,高中/职高,有配偶,365243,,未知,54000,2,0
210773,女,-15606,大学肄业,离异,-2125,,公司类别3,180000,2,1
210786,女,-19915,高中/职高,未婚,-3568,销售人员,自由职业,90000,2,1
210787,男,-18905,高中/职高,有配偶,-309,,公司类别2,135000,2,0
210804,女,-20754,本科及以上,民事婚姻,-4897,专业技术人员,工业类别7,193500,2,0
210818,女,-19930,高中/职高,离异,-5052,医务人员,医疗,216000,1,0
210838,女,-11840,本科及以上,有配偶,-2607,工人,工业类别11,112500,2,0
210841,女,-22546,高中/职高,有配偶,365243,,未知,67500,2,0
210842,女,-10044,本科及以上,有配偶,-971,会计,政府部门,85500,3,1
210846,女,-18982,本科及以上,离异,-2908,,广告,585000,2,1
210847,女,-14034,高中/职高,民事婚姻,-6058,经理,自由职业,270000,3,1
210849,女,-22076,本科及以上,有配偶,-453,会计,学校,135000,2,0
210892,女,-17137,高中/职高,有配偶,-450,销售人员,公司类别3,90000,2,0
210894,男,-9517,本科及以上,未婚,-158,核心员工,银行,270000,1,0
210917,女,-16564,高中/职高,有配偶,-5742,,其他,126000,2,0
210922,女,-13421,本科及以上,有配偶,-3496,经理,自由职业,337500,2,0
210924,女,-17424,本科及以上,有配偶,-8517,核心员工,学校,225000,3,1
210931,女,-9731,初中及以下,离异,-508,核心员工,公司类别3,121500,1,0
210949,女,-11453,本科及以上,有配偶,-1062,核心员工,贸易类别7,90000,3,1
210958,女,-12487,本科及以上,有配偶,-3804,会计,公司类别3,112500,4,2
210959,男,-12766,高中/职高,有配偶,-1096,经理,自由职业,315000,4,2
